BirdID,Airport,DOC,N6,Weight,Bursa,Spleen,Sum_r
18EWR062108,EWR,6/21/2018,0,67.24,0.0874,0.101,3.5175
18EWR062109,EWR,6/21/2018,0,67.95,0.1212,0.1087,3.5175
18EWR062110,EWR,6/21/2018,0,61.93,0.0934,0.1628,3.5175
18EWR062111,EWR,6/21/2018,0,57.97,NA,NA,3.5175
18EWR062801,EWR,6/28/2018,1,60.46,NA,NA,3.5175
18EWR062802,EWR,6/28/2018,2,63.1,NA,NA,3.5175
18EWR062803,EWR,6/28/2018,1,64.04,NA,NA,3.5175
18EWR062804,EWR,6/28/2018,0,62.8,NA,NA,3.5175
18EWR062805,EWR,6/28/2018,0,61.91,NA,NA,3.5175
18EWR062806,EWR,6/28/2018,0,55.93,NA,NA,3.5175
18EWR062807,EWR,6/28/2018,0,69.57,0.1453,0.173,3.5175
18EWR062808,EWR,6/28/2018,2,74.14,0.2826,0.2903,3.5175
18EWR071201,EWR,7/12/2018,0,74.84,NA,NA,3.315
18EWR071202,EWR,7/12/2018,0,72.61,NA,NA,3.315
18EWR071203,EWR,7/12/2018,0,69.01,NA,NA,3.315
18EWR071204,EWR,7/12/2018,1,70.16,NA,NA,3.315
18EWR071205,EWR,7/12/2018,0,66.63,NA,NA,3.315
18EWR071206,EWR,7/12/2018,0,75.53,NA,NA,3.315
18EWR071207,EWR,7/12/2018,0,80.34,NA,NA,3.315
18EWR071208,EWR,7/12/2018,0,72.19,NA,NA,3.315
18EWR071209,EWR,7/12/2018,0,61.97,NA,NA,3.315
18EWR071210,EWR,7/12/2018,0,72.07,NA,NA,3.315
18EWR071211,EWR,7/12/2018,0,76.12,NA,0.233,3.315
18EWR071212,EWR,7/12/2018,0,74.37,NA,0.3879,3.315
18EWR071213,EWR,7/12/2018,0,63.09,NA,NA,3.315
18EWR071214,EWR,7/12/2018,0,68.47,NA,0.1696,3.315
18EWR071215,EWR,7/12/2018,0,73.78,NA,0.1125,3.315
18EWR071216,EWR,7/12/2018,1,74.25,NA,0.2044,3.315
18EWR071217,EWR,7/12/2018,1,69.62,NA,0.1891,3.315
18EWR071218,EWR,7/12/2018,1,75.55,NA,0.1608,3.315
18EWR071219,EWR,7/12/2018,0,73.3,NA,0.2223,3.315
18EWR071220,EWR,7/12/2018,0,73.46,NA,0.2313,3.315
18EWR072018,EWR,7/20/2018,0,64.88,0.1373,0.2311,3.315
18EWR072002,EWR,7/20/2018,0,75.51,0.1696,0.0671,3.315
18EWR072003,EWR,7/20/2018,0,73.9,0.2874,0.3591,3.315
18EWR072004,EWR,7/20/2018,0,73.17,0.142,0.3674,3.315
18EWR072005,EWR,7/20/2018,5,62.49,0.109,0.1281,3.315
18EWR072006,EWR,7/20/2018,1,68.64,0.1682,0.2455,3.315
18EWR072007,EWR,7/20/2018,0,69.51,0.2698,0.1952,3.315
18EWR072008,EWR,7/20/2018,0,65,0.1594,NA,3.315
18EWR072009,EWR,7/20/2018,1,64.33,0.1458,0.2183,3.315
18EWR072010,EWR,7/20/2018,0,62.4,0.1471,0.2089,3.315
18EWR072011,EWR,7/20/2018,0,66.75,0.0904,0.2548,3.315
18EWR072012,EWR,7/20/2018,0,61.95,0.0855,0.0745,3.315
18EWR072013,EWR,7/20/2018,1,64.87,0.1551,0.1794,3.315
18EWR072014,EWR,7/20/2018,0,81,0.1963,0.151,3.315
18EWR072015,EWR,7/20/2018,0,65.71,0.109,0.1872,3.315
18EWR080201,EWR,8/2/2018,0,68.96,0.1746,0.2974,5.78
18EWR080202,EWR,8/2/2018,0,72.96,0.1816,NA,5.78
18EWR080203,EWR,8/2/2018,0,64.15,0.1851,0.1973,5.78
18EWR080204,EWR,8/2/2018,0,72.16,0.1499,0.1514,5.78
18EWR080205,EWR,8/2/2018,0,68.22,0.075,0.079,5.78
18EWR080206,EWR,8/2/2018,1,62.22,0.0927,0.1234,5.78
18EWR080208,EWR,8/2/2018,0,62.75,0.1309,0.2913,5.78
18EWR080209,EWR,8/2/2018,0,71.42,0.1742,0.1594,5.78
18EWR081101,EWR,8/11/2018,0,65.55,NA,NA,5.78
18EWR082901,EWR,8/29/2018,0,69.98,0.1004,0.1147,5.78
18EWR082902,EWR,8/29/2018,0,67.17,0.075,0.1577,5.78
18EWR082903,EWR,8/29/2018,0,57.87,0.0781,0.0987,5.78
18EWR083002,EWR,8/30/2018,0,54.03,0.0427,0.0466,5.78
18EWR090501,EWR,9/5/2018,0,73.16,NA,NA,5.4525
18EWR090502,EWR,9/5/2018,1,64.87,NA,NA,5.4525
18EWR090503,EWR,9/5/2018,0,52.36,NA,NA,5.4525
18EWR090504,EWR,9/5/2018,0,72.29,NA,0.1044,5.4525
18EWR090505,EWR,9/5/2018,0,74.51,NA,0.5036,5.4525
18EWR090506,EWR,9/5/2018,0,70.18,NA,0.2139,5.4525
18EWR090507,EWR,9/5/2018,0,65.91,NA,0.1601,5.4525
18EWR090508,EWR,9/5/2018,0,66.61,NA,0.292,5.4525
18EWR091201,EWR,9/12/2018,2,69.6,NA,NA,5.4525
18EWR091202,EWR,9/12/2018,0,81.11,NA,0.24,5.4525
18EWR091301,EWR,9/13/2018,0,77.94,NA,NA,5.4525
18EWR091302,EWR,9/13/2018,0,80.13,NA,0.18,5.4525
18EWR091303,EWR,9/13/2018,0,71.82,NA,0.12,5.4525
18EWR091304,EWR,9/13/2018,0,76.08,NA,NA,5.4525
18EWR091305,EWR,9/13/2018,0,60.09,NA,NA,5.4525
18EWR091306,EWR,9/13/2018,0,75.94,NA,0.1532,5.4525
18JFK061101,JFK,6/11/2018,0,51.79,NA,NA,3.5175
18JFK061804,JFK,6/18/2018,3,70.03,NA,NA,3.5175
18JFK061805,JFK,6/18/2018,0,72.16,NA,NA,3.5175
18JFK061806,JFK,6/18/2018,0,78.38,NA,NA,3.5175
18JFK061807,JFK,6/18/2018,0,70.28,NA,NA,3.5175
18JFK061808,JFK,6/18/2018,0,56.16,NA,NA,3.5175
18JFK061809,JFK,6/18/2018,0,65.58,NA,NA,3.5175
18JFK061810,JFK,6/18/2018,0,59.79,NA,NA,3.5175
18JFK061811,JFK,6/18/2018,1,67.86,NA,NA,3.5175
18JFK061812,JFK,6/18/2018,0,55.59,NA,NA,3.5175
18JFK061813,JFK,6/18/2018,0,67.99,NA,NA,3.5175
18JFK061814,JFK,6/18/2018,1,64.6,NA,NA,3.5175
18JFK061815,JFK,6/18/2018,0,62.99,NA,NA,3.5175
18JFK061818,JFK,6/18/2018,3,60.08,NA,NA,3.5175
18JFK061819,JFK,6/18/2018,2,76.07,NA,NA,3.5175
18JFK061820,JFK,6/18/2018,2,75.24,NA,NA,3.5175
18JFK061821,JFK,6/18/2018,1,71.8,NA,NA,3.5175
18JFK061822,JFK,6/18/2018,0,66.24,NA,NA,3.5175
18JFK061823,JFK,6/18/2018,0,60.8,NA,NA,3.5175
18JFK061824,JFK,6/18/2018,3,66.46,NA,NA,3.5175
18JFK061825,JFK,6/18/2018,3,59.74,NA,NA,3.5175
18JFK061826,JFK,6/18/2018,3,69.88,NA,NA,3.5175
18JFK061827,JFK,6/18/2018,2,74.29,NA,NA,3.5175
18JFK070201,JFK,7/2/2018,0,60.98,NA,NA,3.315
18JFK070202,JFK,7/2/2018,0,61.13,0.2225,0.1198,3.315
18JFK070203,JFK,7/2/2018,1,70.76,0.3246,0.311,3.315
18JFK070204,JFK,7/2/2018,2,58.27,0.065,0.1314,3.315
18JFK070205,JFK,7/2/2018,1,54.94,NA,NA,3.315
18JFK070206,JFK,7/2/2018,3,58.6,NA,NA,3.315
18JFK070207,JFK,7/2/2018,2,60.08,0.174,0.0614,3.315
18JFK070208,JFK,7/2/2018,4,70.38,0.2168,0.1831,3.315
18JFK071901,JFK,7/19/2018,1,70.86,NA,NA,3.315
18JFK071902,JFK,7/19/2018,1,69.26,NA,0.28,3.315
18JFK071903,JFK,7/19/2018,4,67.15,NA,NA,3.315
18JFK071904,JFK,7/19/2018,0,76.36,NA,0.2,3.315
18JFK071905,JFK,7/19/2018,3,71.39,NA,NA,3.315
18JFK071906,JFK,7/19/2018,4,71.41,NA,NA,3.315
18JFK071907,JFK,7/19/2018,0,76.65,NA,NA,3.315
